Bluetooth Address,Device,From,To,Average RSSI (dBm),Distance (m),Log Normal - Estimated RSSI (dBm),ITU - Estimated RSSI (dBm),Brick Wall,Plaster Walls,Log Normal - Adapted (dBm),ITU - Adapted 4,Log Normal - Difference (dBm),ITU - Difference (dBm)
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B14,B15,-86.33,10.04,-63.22,-65.66,0,1,-67.22,-69.66,19.11,16.68
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B10,B11,-81.67,10.88,-64.01,-66.70,0,2,-72.01,-74.70,9.65,6.96
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B3,B5,-83.11,10.94,-61.89,-66.77,0,2,-69.89,-74.77,13.22,8.34
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B10,B12,-81.22,11.09,-59.85,-66.95,1,0,-65.85,-72.95,15.37,8.27
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B10,B8,-81.56,11.20,-60.35,-67.08,0,2,-68.35,-75.08,13.21,6.47
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B12,B11,-65.00,11.66,-62.73,-67.61,0,0,-62.73,-67.61,2.27,2.61
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B9,B6,-81.67,11.96,-63.62,-67.94,0,1,-67.62,-71.94,14.04,9.73
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B1,B13,-60.67,12.15,-66.02,-68.14,0,1,-70.02,-72.14,9.35,11.47
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B6,B5,-80.11,14.56,-67.10,-70.50,0,1,-71.10,-74.50,9.01,5.61
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B7,B8,-81.78,16.42,-65.53,-72.07,0,1,-69.53,-76.07,12.25,5.71
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B4,B5,-77.00,17.01,-67.37,-72.53,0,2,-75.37,-80.53,1.63,3.53
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B10,B9,-87.78,17.19,-67.21,-72.66,0,0,-67.21,-72.66,20.57,15.12
B8:27:EB:15:3D:99,Raspberry Pi Model B v1.2,B11,B8,-72.89,19.05,-71.10,-74.00,0,0,-71.10,-74.00,1.79,1.11
